,importance
coolant_temp_mean,0.15229147116695577
pedal_e_max,0.10401309501186641
pedal_d_max,0.10401309501186641
rpm_mean,0.07810239011644857
speed_mean,0.06599934512619479
speed_std,0.06503310672785853
air_flow_max,0.059859507247816475
high_rpm_ratio,0.057600986622456114
rpm_std,0.051368861197476606
rpm_max,0.048561608307396927
intake_pressure_mean,0.03939878444375428
throttle_max,0.03504645761955644
air_flow_mean,0.03367359455710334
idle_ratio,0.031650393015976684
speed_max,0.02432087767411114
throttle_mean,0.014477402154388832
intake_pressure_max,0.009684606671809327
coolant_temp_max,0.009503764634734598
pedal_d_mean,0.007700326346114396
pedal_e_mean,0.007700326346114396
