,importance
jerk_mean,0.07067432459185646
jerk_max,0.06949290716742404
brake_intensity_mean,0.060963177749076676
rpm_mean,0.06093622890761279
acceleration_mean,0.060936088911661905
hard_accel_count,0.05783347239857446
hard_brake_count,0.05629755190933094
yaw_rate_mean,0.054256981451016414
acceleration_max,0.05204425126768169
brake_intensity_max,0.048404011620092925
engine_load_mean,0.04714912116388239
rpm_max,0.04600943820466142
yaw_rate_max,0.039619709594915474
speed_mean,0.03773490470220966
engine_load_max,0.037463997065031146
high_rpm_minutes,0.034562180537096136
coolant_temp_mean,0.029733989169301686
speed_max,0.028307912962576426
sharp_turn_count,0.025143477712648542
coolant_temp_max,0.024563470552344625
idle_time,0.023229053849660668
battery_voltage_mean,0.019002189098288116
battery_voltage_min,0.015356207509870903
trip_duration,0.0002853519031845985
