,importance
battery_voltage_v,0.27472689795058897
brake_temp_c,0.25359346993743553
brake_fluid_level_psi,0.24327635344319848
battery_current_a,0.09311728255607848
vibration_level,0.050558645528297974
engine_temp_c,0.020842783763926974
air_flow_rate_gps,0.01737231870791252
odometer_reading,0.008219114233869548
vehicle_speed_kph,0.006131500691506206
oil_pressure_psi,0.005775069265439056
brake_pad_wear_mm,0.005768260102141896
coolant_temp_c,0.004716176669945515
throttle_pos_percent,0.0042035985878905386
brake_pedal_pos_percent,0.002808314823742482
exhaust_gas_temp_c,0.0027571980084412453
battery_health_percent,0.0019301294437292125
battery_charge_percent,0.0011140888092550172
battery_temp_c,0.0009914100241656325
abs_fault_indicator,0.0009621942049230245
engine_rpm,0.00048862681434982
engine_hours,0.0003968136600641908
alternator_output_v,0.000235839138192533
engine_load_percent,1.3913634905308936e-05
